央视,#genre#
辽宁卫视,https://live.goodiptv.club/api/bestv.php?id=lnwshd8m/8000000#http://1304.hsmedia.top:8080/newlive/live/hls/38/live.m3u8#http://1278.hsmedia.top:8080/newlive/live/hls/29/live.m3u8#http://1583.hsmedia.top:8080/newlive/live/hls/32/live.m3u8
吉林卫视,https://live.goodiptv.club/api/bestv.php?id=jlwshd8m/8000000
黑龙江卫视,https://live.goodiptv.club/api/bestv.php?id=hljwshd8m/8000000#http://1304.hsmedia.top:8080/newlive/live/hls/33/live.m3u8#http://1583.hsmedia.top:8080/newlive/live/hls/36/live.m3u8
贵州卫视,https://live.goodiptv.club/api/bestv.php?id=gzwshd8m/8000000#http://1583.hsmedia.top:8080/newlive/live/hls/42/live.m3u8
甘肃卫视,https://live.goodiptv.club/api/bestv.php?id=gswshd8m/8000000
东南卫视,http://1583.hsmedia.top:8080/newlive/live/hls/40/live.m3u8
天津卫视,http://1278.hsmedia.top:8080/newlive/live/hls/24/live.m3u8
深圳卫视,http://1278.hsmedia.top:8080/newlive/live/hls/25/live.m3u8#http://1639.hsmedia.top:8080/newlive/live/hls/28/live.m3u8#http://1583.hsmedia.top:8080/newlive/live/hls/38/live.m3u8
重庆卫视,http://1639.hsmedia.top:8080/newlive/live/hls/30/live.m3u8
四川卫视,http://1639.hsmedia.top:8080/newlive/live/hls/31/live.m3u8
影视少儿,#genre#
卡酷少儿,https://live.goodiptv.club/api/bestv.php?id=kkse8m/8000000
青春动漫,https://live.goodiptv.club/api/bestv.php?id=qcdm8m/8000000
星光影院,https://live.goodiptv.club/api/bestv.php?id=xgyy8m/8000000
全球大片,https://live.goodiptv.club/api/bestv.php?id=qqdp8m/8000000
东方财经,https://live.goodiptv.club/api/bestv.php?id=dfcjhd8m/8000000
东方影视,https://live.goodiptv.club/api/bestv.php?id=dfyshd8m/8000000
七彩戏剧,https://live.goodiptv.club/api/bestv.php?id=qcxjhd8m/8000000
魅力足球,https://live.goodiptv.club/api/bestv.php?id=mlyyhd8m/8000000
